code,title,description,distanceKm,durationMinutes,difficulty,healingScore,emotionalScore,historicalScore,trendyScore,embedding_text
C0011,서대문독립공원에서 자유를 외쳐라,"독립문과 서대문형무소 역사관을 중심으로 근현대사의 의미를 되새기는 코스",3.2,80,NORMAL,5,6,10,3,독립문과 서대문형무소를 중심으로 한국 근현대사를 깊이 체험할 수 있는 역사 중심 코스. 교육적 가치와 의미 있는 탐방을 원하는 사용자에게 적합. 역사 이해와 의미 있는 시간을 원하는 사람에게 추천.
C0012,안산의 품에서 찾은 근대사의 숨결,"안산과 연세대학교 일대를 따라 근대 건축과 역사 유적을 탐방하는 코스",3.8,90,NORMAL,6,6,9,4,안산과 연세대학교 주변의 근대 건축과 유적을 함께 즐길 수 있는 역사 산책 코스. 조용한 자연과 함께 역사 탐방을 원하는 사용자에게 적합. 힐링과 학습을 동시에 원하는 사람에게 추천.
C0013,홍제천 물길따라 달리는 이야기 여행,"홍제폭포와 홍제천을 따라 수변과 시장, 예술 공간을 경험하는 코스",4.5,70,EASY,8,7,6,6,홍제천과 폭포를 따라 자연과 도시의 감성을 동시에 느낄 수 있는 수변 코스. 시장과 예술 공간이 어우러져 다양한 경험을 원하는 사용자에게 적합. 힐링과 감성 여행을 원하는 사람에게 추천.
C0014,신촌에 새겨진 청춘의 기억과 역사의 발자취,"이화여대와 신촌 일대에서 현대 문화와 민주화 역사를 경험하는 코스",3.5,80,NORMAL,5,8,9,7,신촌과 이화여대 일대를 중심으로 청춘 문화와 민주화 역사를 함께 느낄 수 있는 코스. 감성과 역사 모두를 경험하고 싶은 사용자에게 적합. 젊은 분위기와 의미 있는 탐방을 원하는 사람에게 추천.
C0015,돈의문에서 독립문까지 자주독립을 향한 길,"돈의문과 독립문 일대를 중심으로 근대사의 흐름을 따라가는 코스",2.8,70,EASY,5,5,10,3,돈의문과 독립문을 중심으로 근대사의 흐름을 이해할 수 있는 역사 코스. 짧지만 의미 있는 탐방을 원하는 사용자에게 적합. 역사 중심의 교육적 경험을 원하는 사람에게 추천.
C0016,불광천 물길 너머 만나는 조선의 자취와 자연,"불광천과 조선 유적을 함께 탐방하는 자연과 역사 결합 코스",4.2,90,NORMAL,8,6,7,4,불광천과 조선시대 유적을 함께 즐길 수 있는 자연과 역사 결합 코스. 조용한 분위기 속에서 힐링과 탐방을 원하는 사용자에게 적합. 자연 속 역사 체험을 원하는 사람에게 추천.
C0017,백련산의 향기와 홍제천의 물길이 머무는 쉼터,"백련사와 홍제천을 중심으로 자연 속 힐링을 느끼는 코스",5.0,100,NORMAL,9,7,6,4,백련산과 홍제천을 따라 자연 속에서 여유로운 힐링을 즐길 수 있는 코스. 사찰과 폭포를 포함하여 शांत한 분위기를 선호하는 사용자에게 적합. 자연 힐링을 원하는 사람에게 추천.
C0018,고요한 산사에서 도심의 숲으로 낭만 산책길,"봉원사와 경의선숲길을 연결하는 감성 코스",4.3,90,NORMAL,8,8,6,6,봉원사와 경의선숲길을 연결하는 감성적인 산책 코스. 전통과 도시 감성을 동시에 느끼고 싶은 사용자에게 적합. 조용한 힐링과 감성을 원하는 사람에게 추천.
C0019,북한산이 품은 천년의 고요와 한옥의 미,"삼천사와 은평한옥마을을 포함한 전통 문화 코스",5.5,110,NORMAL,9,7,8,5,북한산과 한옥마을을 중심으로 전통과 자연을 동시에 즐길 수 있는 코스. 고즈넉한 분위기와 한국적인 미를 좋아하는 사용자에게 적합. 전통과 힐링을 원하는 사람에게 추천.
C0020,구파발 물길 따라 걷는 전통의 향기,"구파발천과 한옥마을을 연결하는 힐링 코스",4.0,90,EASY,8,6,7,5,구파발천과 한옥마을을 따라 여유롭게 즐길 수 있는 힐링 코스. 자연과 전통을 함께 경험하고 싶은 사용자에게 적합. آرام한 산책을 원하는 사람에게 추천.
C0021,세계 문화와 현대 예술이 흐르는 구파발 산책길,"다문화박물관과 도시농업체험원을 중심으로 다양한 문화와 자연을 동시에 경험하는 코스",3.6,80,EASY,6,7,5,8,다문화박물관과 도시농업체험원을 중심으로 다양한 문화와 체험을 즐길 수 있는 코스. 이국적인 전시와 자연 체험을 동시에 원하는 사용자에게 적합. 색다른 경험과 감성적인 여행을 원하는 사람에게 추천.
C0022,불광에서 연신내까지 시간이 박제된 미래유산 산책,"청기와양복점과 대장간 등 서울의 미래유산과 전통시장을 탐방하는 코스",4.1,90,NORMAL,6,5,9,5,서울의 미래유산과 전통시장을 따라 시간의 흐름을 느낄 수 있는 역사 코스. 오래된 기술과 공간에 관심 있는 사용자에게 적합. 전통과 근현대 역사를 함께 경험하고 싶은 사람에게 추천.
C0023,금빛 불상에서 만화 도서관까지 은평의 숨은 이야기,"수국사와 전통 가옥을 지나 다양한 문화유산을 따라가는 탐방 코스",3.7,80,NORMAL,7,6,8,5,수국사와 전통 가옥을 중심으로 다양한 역사와 문화를 체험할 수 있는 코스. 조용한 분위기 속에서 문화유산을 즐기고 싶은 사용자에게 적합. 역사 탐방과 힐링을 동시에 원하는 사람에게 추천.
C0024,대장간의 불꽃에서 편백나무 숲의 휴식까지,"전통 대장간과 숲길, 시장을 함께 경험하는 복합 코스",4.4,100,NORMAL,9,6,6,6,대장간과 전통시장 숲길을 함께 경험할 수 있는 복합 코스. 자연과 생활 문화를 동시에 즐기고 싶은 사용자에게 적합. 힐링과 체험을 동시에 원하는 사람에게 추천.
C0025,내를 건너 숲으로 책과 자연이 머무는 치유의 길,"도서관과 숲, 마을을 연결하는 힐링 중심 코스",4.8,100,NORMAL,10,7,5,4,도서관과 숲길을 따라 조용하게 휴식을 즐길 수 있는 힐링 코스. 자연 속에서 여유로운 시간을 보내고 싶은 사용자에게 적합. 스트레스 해소와 آرام한 산책을 원하는 사람에게 추천.
C0026,한강 물길 따라 만나는 세월의 흔적과 역사의 숨결,"월드컵공원과 절두산 성지를 포함한 역사와 자연 코스",5.2,110,NORMAL,8,6,8,5,한강과 월드컵공원 역사 유적을 함께 즐길 수 있는 코스. 자연과 역사를 동시에 경험하고 싶은 사용자에게 적합. 여유로운 라이딩과 의미 있는 탐방을 원하는 사람에게 추천.
C0027,과거의 흔적에서 미래의 에너지를 만나는 생태 기술 산책,"노을공원과 문화비축기지, 에너지드림센터를 포함한 미래형 코스",4.6,100,NORMAL,7,6,6,9,노을공원과 문화비축기지를 중심으로 환경과 기술을 체험할 수 있는 코스. 미래적인 공간과 친환경 요소를 좋아하는 사용자에게 적합. 새로운 경험과 트렌디한 공간을 원하는 사람에게 추천.
C0028,노을빛 예술과 초록빛 숲길이 만나는 난지 힐링 산책,"하늘공원과 난지공원을 중심으로 자연과 예술을 즐기는 코스",5.0,100,NORMAL,10,8,4,7,하늘공원과 난지공원을 따라 자연과 예술을 동시에 즐길 수 있는 힐링 코스. 넓은 풍경과 감성적인 분위기를 좋아하는 사용자에게 적합. 자연 속 여유와 감성을 원하는 사람에게 추천.
C0029,예술의 선율과 아픈 역사의 기억이 공존하는 거리,"홍대와 연남동, 전쟁과 여성인권 박물관을 포함한 의미 있는 코스",3.9,90,NORMAL,5,9,9,10,홍대와 연남동의 예술 감성과 역사적 의미를 동시에 느낄 수 있는 코스. 감성과 사회적 의미를 함께 중요하게 생각하는 사용자에게 적합. 문화와 메시지를 함께 경험하고 싶은 사람에게 추천.
C0030,시장의 활기에서 한강의 낭만까지 망원동 감성 투어,"망원시장과 한강공원을 연결하는 먹거리와 감성 코스",4.2,90,NORMAL,7,8,5,10,망원시장과 한강을 따라 먹거리와 감성을 동시에 즐길 수 있는 코스. 활기찬 시장 분위기와 낭만적인 강변을 좋아하는 사용자에게 적합. 음식과 감성 여행을 원하는 사람에게 추천.
C0031,양화진의 숭고한 신념에서 한강의 풍류를 마주하다,"양화진 성지와 망원정터를 따라 역사와 풍류를 동시에 느끼는 코스",3.8,80,NORMAL,6,6,9,4,양화진 성지와 한강 주변을 따라 역사와 전통 풍류를 함께 느낄 수 있는 코스. 차분한 분위기와 의미 있는 탐방을 원하는 사용자에게 적합. 역사와 자연을 동시에 경험하고 싶은 사람에게 추천.
C0032,마포 나루터에 서린 옛 사람들의 신앙과 삶,"마포 일대 전통 유적과 시장을 연결하는 생활 역사 코스",3.5,80,EASY,6,5,8,5,마포 나루터와 전통시장 주변을 따라 옛 사람들의 삶과 신앙을 느낄 수 있는 코스. 소박한 분위기와 역사 체험을 원하는 사용자에게 적합. 일상 속 역사 여행을 원하는 사람에게 추천.
C0033,언덕 위 이국적인 사원과 고요한 옛집을 찾아서,"성니콜라스 성당과 한옥을 연결하는 문화 혼합 코스",3.6,80,NORMAL,7,7,7,6,이국적인 성당과 전통 한옥을 함께 경험할 수 있는 문화 혼합 코스. 다양한 건축과 분위기를 즐기고 싶은 사용자에게 적합. 감성과 문화 체험을 동시에 원하는 사람에게 추천.
C0034,현대사의 파도를 넘나든 지도자들의 공간,"근현대 정치 인물과 관련된 장소를 탐방하는 역사 코스",3.4,80,NORMAL,5,5,10,3,근현대 정치 지도자들의 발자취를 따라가는 역사 중심 코스. 깊이 있는 역사 이해를 원하는 사용자에게 적합. 교육적 가치가 높은 탐방을 원하는 사람에게 추천.
C0035,홍대의 창조적 예술과 옛 선비의 멋이 만나는 길,"홍대 예술 문화와 전통 공간을 연결한 감성 코스",3.9,90,NORMAL,6,9,6,10,홍대의 예술적 감성과 전통 공간이 어우러진 코스. 창의적인 분위기와 카페 문화를 좋아하는 사용자에게 적합. 트렌디하고 감성적인 여행을 원하는 사람에게 추천.
C0036,숭고한 정신과 승리의 기억이 깃든 언덕길,"서소문 성지와 역사 인물을 중심으로 한 의미 있는 코스",3.7,80,NORMAL,6,6,9,4,서소문 성지와 역사적 장소를 중심으로 의미 있는 시간을 보낼 수 있는 코스. 차분한 분위기와 역사 탐방을 원하는 사용자에게 적합. 정신적 의미를 중요하게 생각하는 사람에게 추천.
C0037,예술과 역사가 피어나는 언덕 위의 문화 산책,"신촌 문화 공간과 역사 인물을 연결한 복합 코스",3.8,90,NORMAL,7,8,7,7,신촌의 문화 공간과 역사적 인물을 함께 경험할 수 있는 코스. 예술과 역사를 동시에 즐기고 싶은 사용자에게 적합. 감성과 지식을 함께 원하는 사람에게 추천.
C0038,한양도성 성곽길 따라 걷는 동대문의 어제와 오늘,"성곽과 동대문 일대를 따라 역사 변화를 체험하는 코스",4.5,100,NORMAL,6,6,9,6,한양도성과 동대문을 따라 과거와 현재를 동시에 느낄 수 있는 코스. 역사와 도시 변화를 함께 경험하고 싶은 사용자에게 적합. 전통과 현대를 모두 즐기고 싶은 사람에게 추천.
C0039,남산 자락에 새겨진 독립의 투혼과 예술의 향기,"남산과 문화시설을 연결한 역사와 예술 코스",4.6,100,NORMAL,7,7,9,6,남산과 문화시설을 따라 독립운동과 예술을 동시에 경험할 수 있는 코스. 의미 있는 역사와 감성을 함께 원하는 사용자에게 적합. 균형 잡힌 여행을 원하는 사람에게 추천.
C0040,한양의 관문에서 남산 정상까지 호국의 길,"숭례문에서 남산 정상까지 이어지는 대표 역사 코스",5.5,120,NORMAL,8,7,10,6,숭례문부터 남산까지 이어지는 대표적인 역사 코스. 서울의 상징과 역사를 한 번에 경험할 수 있어 관광과 학습을 동시에 원하는 사용자에게 적합. 필수 코스를 찾는 사람에게 추천.
C0041,근대화의 서막이 열린 정동 골목길 역사 산책,"정동 일대 근대 건축과 역사 유적을 탐방하는 코스",3.3,80,NORMAL,6,6,10,5,정동의 근대 건축과 역사 유적을 중심으로 서울의 근대화를 체험할 수 있는 코스. 조용한 분위기 속 역사 탐방을 원하는 사용자에게 적합. 깊이 있는 도시 탐방을 원하는 사람에게 추천.
C0042,인왕산 자락에 흐르는 예술과 민족의 정기,"인왕산 주변 문화와 전통을 함께 경험하는 코스",4.2,90,NORMAL,7,7,8,6,인왕산과 전통 유적을 따라 예술과 민족 정신을 느낄 수 있는 코스. 자연과 문화를 동시에 즐기고 싶은 사용자에게 적합. 균형 잡힌 탐방을 원하는 사람에게 추천.
C0043,인왕산 자락에 새겨진 선비의 기품과 시인의 마음,"전통 유적과 문학적 감성을 함께 느끼는 코스",4.3,90,NORMAL,8,8,8,6,인왕산과 문학 유적을 따라 사색과 감성을 즐길 수 있는 코스. 조용한 분위기와 깊이 있는 경험을 원하는 사용자에게 적합. 감성 여행을 원하는 사람에게 추천.
C0044,근대사의 숨결과 예술이 만나는 정동 시간 여행,"정동의 역사와 예술 공간을 연결한 대표 코스",3.6,90,NORMAL,6,7,10,7,정동의 역사와 예술 공간을 함께 경험할 수 있는 코스. 문화와 역사를 동시에 즐기고 싶은 사용자에게 적합. 균형 잡힌 도시 여행을 원하는 사람에게 추천.
C0045,명동에서 종로까지 신념을 지킨 순교자들의 발자취,"명동과 종로 일대를 따라 종교 역사 탐방 코스",3.2,80,EASY,5,6,10,6,명동과 종로를 따라 종교적 의미와 역사를 느낄 수 있는 코스. 의미 있는 탐방과 도심 여행을 원하는 사용자에게 적합. 역사와 신념을 경험하고 싶은 사람에게 추천.
C0046,언덕 위 성당에서 역사의 현장까지 중구의 성스러운 길,"성당과 역사 유적을 연결한 종교 중심 코스",3.4,80,NORMAL,6,6,10,5,성당과 역사 유적을 중심으로 신앙과 역사를 함께 느낄 수 있는 코스. 차분한 분위기와 의미 있는 시간을 원하는 사용자에게 적합. 종교와 역사를 함께 경험하고 싶은 사람에게 추천.
C0047,명동의 화려함 속에 감춰진 구국의 정신과 예술의 혼,"명동과 예술 공간을 연결한 역사 감성 코스",3.5,90,NORMAL,5,8,9,9,명동의 화려한 분위기와 역사적 의미를 동시에 느낄 수 있는 코스. 쇼핑과 문화와 역사를 함께 즐기고 싶은 사용자에게 적합. 감성적인 도심 여행을 원하는 사람에게 추천.
C0048,한양 도성에서 권력의 심장부까지 대한민국 상징 가로,"서울 주요 상징 공간을 직선으로 연결한 대표 코스",5.8,120,NORMAL,7,7,10,7,서울의 정치·경제·문화 중심지를 한 번에 경험할 수 있는 대표 코스. 상징적인 장소를 모두 방문하고 싶은 사용자에게 적합. 서울을 처음 방문하는 사람에게 추천.
C0049,장충동의 옛 기억과 골목의 향수가 머무는 길,"장충동 골목과 역사 공간을 연결한 감성 코스",3.7,90,NORMAL,7,7,8,7,장충동 골목과 역사 공간을 따라 옛 분위기를 느낄 수 있는 코스. 음식과 감성을 동시에 즐기고 싶은 사용자에게 적합. 레트로 감성을 원하는 사람에게 추천.
C0050,충무공의 탄생지에서 조선의 무예가 살아 숨 쉬는 길,"이순신 장군과 조선 군사 문화를 탐방하는 코스",3.9,90,NORMAL,6,6,10,6,이순신 장군과 조선 군사 문화를 중심으로 역사적 의미를 깊이 체험할 수 있는 코스. 영웅과 전통을 배우고 싶은 사용자에게 적합. 교육적이고 의미 있는 여행을 원하는 사람에게 추천.
